"insee_dep","lib_france_services","adresse","adresse_cplmt","insee_com","code_postal","lib_com","type_structure","lib_structure","h_lundi","h_mardi","h_mercredi","h_jeudi","h_vendredi","h_samedi","itinerance","lat","long","result_label","result_score","result_postcode","result_city","result_citycode"
"65","Espace France Services de Tarbes Laubadère","10 Avenue Antoine de Saint-exupéry",,,"65000","TARBES-LAUBADÈRE","La Poste","La Poste","9h-12h /14h-16h30","9h-12h /14h-16h30","9h-12h /14h-16h30","9h-12h /14h-16h30","9h-12h /14h-16h30",,,"43.2432","0.063311","10 Avenue Antoine de Saint-exupéry 65000 Tarbes","0.79","65000","Tarbes","65440"
"65","Espace France Services de Rabastens en Bigorre","16 place centrale",,,"65140","RABASTENS-DE-BIGORRE","Collectivité","CC Adour Madiran","8h30-12h00","8h30-12h00 / 13h30-17h","8h30-12h00 ","8h30-12h00 / 13h30-17h","8h30-12h00",,,"43.387473","0.150968","16 Place Centrale 65140 Rabastens-de-Bigorre","0.94","65140","Rabastens-de-Bigorre","65375"
"65","Espace France Services de Saint-Lary-Soulan","36 rue Vincent Mir","Galerie Commerciale",,"65170","SAINT-LARY-SOULAN ","Association","Guichet Initiative Pluriactivité Emploi (GIPE)","9h-12h /14h-17h","9h-12h /14h-17h","9h-12h /14h-17h","9h-12h /14h-17h","9h-12h /14h-17h",,,"42.816079","0.320982","36 Rue Vincent Mir 65170 Saint-Lary-Soulan","0.64","65170","Saint-Lary-Soulan","65388"
"65","Espace France Services de la Haute Bigorre","30 avenue Géruzet",,,"65200","BAGNERES-DE-BIGORRE","Collectivité","CC de la Haute-Bigorre","8h30-12h 13h30-17h","8h30-12h 13h30-17h","8h30-12h 13h30-17h","8h30-12h 13h30-17h","8h30-12h 13h30-17h",,,"43.068334","0.151224","30 Avenue Géruzet 65200 Bagnères-de-Bigorre","0.95","65200","Bagnères-de-Bigorre","65059"
"65","Espace France Services des Coteaux","31 Place de la Mairie",,,"65220","TRIE-SUR-BAÏSE","Collectivité","PETR des coteaux","9h-12h30 / 13h30-17h","9h-12h30 / 13h30-17h","9h-12h30 / 13h30-17h","9h-12h30 / 13h30-17h","9h-12h30 / 13h30-17h",,,"43.320486","0.370906","31 Place de la Mairie 65220 Trie-sur-Baïse","0.94","65220","Trie-sur-Baïse","65452"
"65","Espace France Services de Pierrefitte-Nestalas","Place Jean Jaurès",,,"65260","PIERREFITTE-NESTALAS","La Poste","La Poste","9h30-12h / 13h30-16h45","9h30-12h / 13h30-16h45","9h30-12h / 13h30-16h45","9h30-12h / 13h30-16h45","9h30-12h / 13h30-16h45","9h-12h",,"42.96096","-0.074149","Place Jean Jaures 65260 Pierrefitte-Nestalas","0.94","65260","Pierrefitte-Nestalas","65362"
"65","Espace France Services DE SARP","Maison La Barousse centre village",,,"65370","SARP",,,,,,,,,,"43.01773","0.591438","Residence Barousse 65370 Sarp","0.46","65370","Sarp","65407"
"65","Espace France Services de Vic-en-Bigorre","21 Place du Corps Franc Pommies",,,"65500","VIC-EN-BIGORRE","Collectivité","CC Adour Madiran","8h30-12h30","8h30-12h30 / 14h - 18h","8h30-12h30 / 14h-18h","8h30-12h30 / 14h-18h","8h30-12h30 / 14h-17h",,,"43.38676","0.054881","21 Place du Corps Franc Pommies 65500 Vic-en-Bigorre","0.95","65500","Vic-en-Bigorre","65460"
"65","Espace France Services ADOUR-MADIRAN","188 allée Larbanès",,,"65700","MAUBOURGUET",,,,,,,,,,"43.466522","0.034769","188 Allées Larbanés 65700 Maubourguet","0.87","65700","Maubourguet","65304"
"66","Espace France services d’Ille sur têt","3 rue de bourdeville",,,"66130","ILLE-SUR-TET","Collectivité","communauté de communes Roussillon Conflent","9h - 13h / 13h30 – 17h","9h - 13h / 13h30 – 16h","9h – 12h","9h - 13h / 13h30 – 17h","9h - 13h / 13h30 – 17h","Fermé",,"42.66962","2.623884","3 Rue de Bourdeville 66130 Ille-sur-Têt","0.95","66130","Ille-sur-Têt","66088"
"66","Espace France services d’Arles sur Tech","32 Rue du Barri d'Amont",,,"66150","ARLES SUR TECH","Collectivité","communauté de communes du Haut Vallespir","9h - 12h / 13h30 – 17h","9h - 12h / 13h30 – 17h","9h - 12h / 13h30 – 17h","9h - 12h / 13h30 – 17h","9h - 12h / 13h30 – 17h","Fermé",,"42.455165","2.632069","32 Rue du Barri d'Amont 66150 Arles-sur-Tech","0.94","66150","Arles-sur-Tech","66009"
"66","Espace France services de Banyuls sur mer","place Dina Vierny",,,"66650","BANYULS SUR MER","Collectivité","commune de Banyuls sur mer","9h - 12h / 13h – 16h","9h - 12h / 13h – 16h","9h - 12h / 13h – 16h","9h - 12h / 13h – 16h","9h – 12h","Fermé",,"42.476214","3.114158","La Serre 66650 Banyuls-sur-Mer","0.58","66650","Banyuls-sur-Mer","66016"
"66","Espace France services de Tautavel","place de la République",,,"66720","TAUTAVEL","Collectivité","commune de Tautavel","15h – 19h"," 9h15 - 12h15 / 15h – 18h","9h15 – 12h15","9h15 - 12h15 / 15h - 19h","8h30 – 12h30","Fermé",,"42.814194","2.745516","Place de la République 66720 Tautavel","0.94","66720","Tautavel","66205"
"67","Strasbourg","3 Rue de Hautefort",,,"67100","STRASBOURG",,,,,,,,,,"48.549201","7.768703","3 Rue de Hautefort 67100 Strasbourg","0.96","67100","Strasbourg","67482"
"67","Schirmeck","114 Grand'Rue",,,"67130","SCHIRMECK",,,,,,,,,,"48.478335","7.218349","114 Grand'Rue 67130 Schirmeck","0.94","67130","Schirmeck","67448"
"67","Villé","2 a Rue du Haut Koenigsbourg",,,"67220","VILLÉ","La Poste",,,,,,,,,"48.342069","7.307902","2 a Rue du Haut Koenigsbourg 67220 Villé","0.94","67220","Villé","67507"
"67","Wasselonne","33 Rue des Pins",,,"67310","WASSELONNE",,,,,,,,,,"48.644395","7.449727","33 Rue des Pins 67310 Wasselonne","0.95","67310","Wasselonne","67520"
"67","Sarre-Union","14 Rue Vincent d'Indy",,,"67320","SARRE-UNION",,,,,,,,,,"48.933034","7.094915","14 Rue Vincent d'Indy 67260 Sarre-Union","0.81","67260","Sarre-Union","67434"
"67","Durrenbach","1 Rue de l'Obermatt",,,"67360","DURRENBACH",,,,,,,,,,"48.90976","7.749898","1 Rue de l'Obermatt 67360 Durrenbach","0.94","67360","Durrenbach","67110"
"67","Truchtersheim","32 Rue des Romains",,,"67370","TRUCHTERSHEIM",,,,,,,,,,"48.664588","7.606664","32 Rue des Romains 67370 Truchtersheim","0.94","67370","Truchtersheim","67495"
"67","Saverne","3 Rue du Tribunal",,,"67700","SAVERNE",,,,,,,,,,"48.74091","7.363901","3 Rue du Tribunal 67700 Saverne","0.95","67700","Saverne","67437"
"68","Altkirch","5 Rue Charles de Gaulle",,,"68130","ALTKIRCH",,,,,,,,,,"47.622537","7.235773","5 Rue Charles de Gaulle 68130 Altkirch","0.95","68130","Altkirch","68004"
"69","Espace France Services de Monsols","6 Place de la Fontaine",,,"69860 ","MONSOLS","La Poste",,,,,,,,,"46.219838","4.521096","6 Place de la Fontaine 69860 Deux-Grosnes","0.73","69860","Deux-Grosnes","69135"
"70","Maison France Services RIOZ","Place du Souvenir Français",,,"70190","RIOZ","Association","Association du Pays des 7 rivières","8h30-12h00/13h30-17h00","8h30-12h00/13h30-17h00","8h30-12h00","8h30-12h00/13h30-17h00","8h30-12h00/13h30-17h00",,,"47.421905","6.068824","Place du Souvenir Francais 70190 Rioz","0.94","70190","Rioz","70447"
"70","Maison France Services QUERS","1 bis Rue de l'Eglise",,,"70200","QUERS","Collectivité","communauté de communes du Triangle Vert","9h - 12h / 14h - 18h30","8h30 - 12h / 14h - 18h30","16h30 - 18h30","8h30 - 12h / 14h - 18h30","9h - 12h / 14h - 18h30","8h30 - 12h",,"47.735178","6.424572","1 bis Rue de l'Eglise 70200 Quers","0.93","70200","Quers","70432"
"70","Maison France Services CHAMPAGNEY","Pl du General Charles de Gaulle",,,"70290","CHAMPAGNEY","Collectivité","communauté de communes de Rahin et Cherimont","8h30 - 12h00  /  12h30 - 17h00"," 8h30 - 12h00  /  12h30 - 17h00"," 8h30 - 12h00  /  13h30 - 16h30"," 8h30 - 12h00"," 8h30 - 12h00  /  12h30 - 16h00",,,"47.704821","6.685221","Pl du General Charles de Gaulle 70290 Champagney","0.94","70290","Champagney","70120"
"70","Maison France Services Haute Comté","57 Rue des Ballastiéres",,,"70320","CORBENAY","Collectivité","Communauté de communes de la Haute Comté","8h30-12h 13h30-16h30","8h30-12h 13h30-16h30","8h30-12h 13h30-16h30","8h30-12h 13h30-16h30","8h30-12h 13h30-16h30",,,"47.885222","6.292208","57 Rue des Ballastiéres 70320 Corbenay","0.94","70320","Corbenay","70171"
"71","PIMMS de CHAUFFAILLES","Place de la Gare",,,"71170","CHAUFFAILLES","PIMMS",,,,,,,,,"46.207637","4.344631","Place de la Gare 71170 Chauffailles","0.94","71170","Chauffailles","71120"
"71","PIMMS Val de Joux","Place de la Poste",,,"71220","SAINT-BONNET-DE-JOUX","PIMMS",,,,,,,,,"46.481401","4.438974","Place de la Poste 71220 Saint-Bonnet-de-Joux","0.94","71220","Saint-Bonnet-de-Joux","71394"
"71","SENNECEY-LE-GRAND","32 Rue des Muriers",,,"71240","SENNECEY-LE-GRAND",,,,,,,,,,"46.644575","4.861923","32 Rue des Muriers 71240 Sennecey-le-Grand","0.94","71240","Sennecey-le-Grand","71512"
"71","PIMMS de MELAY","Le bourg",,,"71340","MELAY","PIMMS",,,,,,,,,"46.206828","3.97289","En Breture 71340 Melay","0.52","71340","Melay","71291"
"72","Espace France Services de la CC Haute Sarthe Alpes mancelles","2 Rue Abbé Lelièvre",,,"72130","Fresnay-sur-Sarthe","Collectivité","communauté de communes","9h-12h30 / 14h-17h30","9h-12h30 / 14h-17h30","9h-12h / 14h-18h30","9h-12h / 14h-17h","9h-12h30",,,"48.284464","0.023315","2 Rue de l'Abbé Lelièvre 72130 Fresnay-sur-Sarthe","0.85","72130","Fresnay-sur-Sarthe","72138"
"72","Espace France Services de Brûlon","1, place Albert Liébault",,,"72350","Brûlon","Collectivité","commune","9h-12h30
13h30-17h30","9h-12h30
13h30-17h30","9h-12h30","9h-12h30
13h30-17h30","9h-12h30",,,"47.96705","-0.23348","1 Place Albert Liebault 72350 Brûlon","0.94","72350","Brûlon","72050"
"72","Espace France Services de la CC Sud Sarthe","28 place Neuve",,,"72800","Le Lude","Collectivité","communauté de communes","9h-12h30","9h-12h30
14h-17h30","9h-12h30
14h-17h30","9h-12h30
14h-17h30","9h-12h30",,,"47.645258","0.156936","28 Place Neuve 72800 Le Lude","0.95","72800","Le Lude","72176"
"73","Espace France Services de Valgelon La Rochette","Allée des grillons",,,"73110","LA ROCHETTE",,"Communauté de commune cœur de Savoie","de 14h à 17h","de 09h00 à 12h30 de 14h00 à 17h30 ","de 09h00 à 12h30 de 14h00 à 17h30 ","de 09h00 à 12h30 de 14h00 à 17h30 ","de 09h00 à 12h30 de 14h00 à 17h30 ",,,"45.463532","6.119628","Rue des Grives 73110 Valgelon-La Rochette","0.61","73110","Valgelon-La Rochette","73215"
"73","Espace France Services de St Michel de Maurienne","25 bis rue du Général Ferrié",,,"73140","SAINT MICHEL DE MAURIENNE",,"Centre social Mosaïcaa","de 8h à 12h30 et de 14h à 17h30","de 14h à 18h","de 9h à 13h et de 14h à 17h30","de 14h à 17h30","de 9h à 13h",,,"45.216632","6.473134","25 bis Rue du General Ferrie 73140 Saint-Michel-de-Maurienne","0.94","73140","Saint-Michel-de-Maurienne","73261"
"73","Espace France Services de Yenne","8 place du kiosque",,,"73170","YENNE",,"Communauté de commune de Yenne","de 8h30 à 12h30 et de 13h30 à 17h30","de 13h30 à 17h30","de 8h30 à 12h30","de 13h30 à 17h30","de 08h30 à 12h30",,,"45.70223","5.756873","8 Place du Kiosque 73170 Yenne","0.94","73170","Yenne","73330"
"73","Espace France Services d'Entrelacs","60 rue Joseph Michaud Albens",,,"73410","ENTRELACS",,"Communauté d'agglomération Grand Lac","de 08h à 16h45","de 08h30 à 12h30","de 08h30 à 12h30","de 08h à 16h45","de 08h30 à 12h30",,,"45.785443","5.946042","60 Rue Joseph Michaud 73410 Entrelacs","0.8","73410","Entrelacs","73010"
"74","Espace France Services du Haut-Chablais","44 route de Morzine ",,,"74110","MONTRIOND","Collectivité","Com com du Haut-Chablais","8h30-12h30/14h-16h30","8h30-12h30/14h-16h30","8h30-12h30/14h-16h30","8h30-12h30/14h-16h30","8h30-12h30",,,"46.196773","6.694353","44 Route de Morzine 74110 Montriond","0.94","74110","Montriond","74188"
"74","Espace France Services Faucigny Glières ","100 rue Paul Verlaine",,,"74130","BONNEVILLE","Association","Faucigny Mont Blanc Développement","13h30-17h","09h-12h30 / 13h30-17h","09h-12h30 / 13h30-17h","09h-12h30 / 13h30-17h","09h-12h30 / 13h30-16h",,,"46.074564","6.409192","100 Rue Paul Verlaine 74130 Bonneville","0.95","74130","Bonneville","74042"
"74","Espace France Services de Gaillard (actuellement Service ALM – EMPLOI)","159 rue de genève",,,"74240","GAILLARD","Collectivité","CCAS de Gaillard","8h30 - 12h00 / 13h30 - 17h00","8h30 - 12h00 / 13h30 - 17h00","13h30 - 17h00","8h30 - 12h00 / 13h30 - 17h00","8h30 - 12h00",,,"46.192038","6.206854","159 Rue de Genève 74240 Gaillard","0.95","74240","Gaillard","74133"
"74","Espace France Services Pays du Mont Blanc ","109 rue Justin",,,"74700","SALLANCHES","Association","Faucigny Mont Blanc Développement","13h30-17h","13h30-17h","09h-12h30 / 13h30-17h","09h-12h30 / 13h30-17h","09h-12h30 / 13h30-17h",,,"45.937423","6.629827","109 Rue Justin 74700 Sallanches","0.95","74700","Sallanches","74256"
"75","PIMMS PARIS SUD","22 rue de la Saïda",,,"75015","PARIS","PIMMS","ASSOCIATION PIMMS DE PARIS","14h - 17h30 ","9 h 30  -  13 h / 14 h - 17 h 30 ","9 h 30  -  13 h / 14 h - 17 h 30 ","9 h 30  -  13 h / 14 h - 17 h 30 ","9 h 30  -  13 h / 14 h - 17 h  ","/",,"48.831832","2.295756","22 Rue de la Saïda 75015 Paris","0.96","75015","Paris","75115"
"75","PIMMS PARIS NORD EST","3 bis rue Jacques Kablé",,,"75018","PARIS","PIMMS","ASSOCIATION PIMMS DE PARIS","14h - 17h30 ","9 h 30  -  13 h / 14 h - 17 h 30 ","9 h 30  -  13 h / 14 h - 17 h 30 ","9 h 30  -  13 h / 14 h - 17 h 30 ","9 h 30  -  13 h / 14 h - 17 h  ","/",,"48.886118","2.362548","3 bis Rue Jacques Kablé 75018 Paris","0.96","75018","Paris","75118"
"75","PIMMS PARIS EST","18 rue Ramus",,,"75020","PARIS","PIMMS","ASSOCIATION PIMMS DE PARIS","14h - 17h30 ","9 h 30  -  13 h / 14 h - 17 h 30 ","9 h 30  -  13 h / 14 h - 17 h 30 ","9 h 30  -  13 h / 14 h - 17 h 30 ","9 h 30  -  13 h / 14 h - 17 h  ","/",,"48.862293","2.399418","18 Rue Ramus 75020 Paris","0.96","75020","Paris","75120"
"76","Espaces numériques mobiles de Normandie - Rouen","8, bis rue de l'Industrie","Media Formation ",,"76000","ROUEN","Association","Association FODENO","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","/","Oui","49.434955","1.098474","8 bis Rue de l'Industrie 76000 Rouen","0.67","76000","Rouen","76540"
"76","Espaces numériques mobiles de Normandie - Lillebonne","Parc d'Activité du Manoir","Clips",,"76170","LILLEBONNE","Association","Association FODENO","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","/","Oui","49.508893","0.536255","Parc d'Activites du Manoir 76170 Lillebonne","0.82","76170","Lillebonne","76384"
"76","Poste de Gournay","Place d'Armes ",,,"76220","GOURNAY","La Poste","La Banque Postale","09h00 – 12h00 / 14h00 – 17h00","09h00 – 12h00 / 14h00 – 17h00","09h00 – 12h00 / 14h00 – 17h00","09h00 – 12h00 / 14h00 – 17h00","09h00 – 12h00 / 14h00 – 17h00","09h00 – 12h00",,"49.483175","1.722545","Place d'Armes 76220 Gournay-en-Bray","0.73","76220","Gournay-en-Bray","76312"
"76","Relais accueil des gens du voyage de
l’agglomération rouennaise","4 chemin de Halage",,,"76300","SOTTEVILLE-LÈS-ROUEN","Association","Centre social associatif Relais d’Accueil
 des Gens du Voyage","09h00 – 12h30 / 14h00 – 17h00","09h00 – 12h30","09h00 – 12h30 / 14h00 – 17h00","09h00 – 12h30 / 14h00 – 17h00","09h00 – 12h30 / 14h00 – 17h00","/",,"49.424699","1.107833","4 Chemin de Halage 76300 Sotteville-lès-Rouen","0.95","76300","Sotteville-lès-Rouen","76681"
