"insee_dep","lib_france_services","adresse","adresse_cplmt","insee_com","code_postal","lib_com","type_structure","lib_structure","h_lundi","h_mardi","h_mercredi","h_jeudi","h_vendredi","h_samedi","itinerance","lat","long","result_label","result_score","result_postcode","result_city","result_citycode"
"76","Maison France Services de Blangy/Bresle","18 rue du Brianchon",,,"76340","BLANGY/BRESLE","Association","ASSOCIATION CARAVELLES","09h15 – 12h30 / 13h30 – 17h00","09h15 – 12h30 / 13h30 – 17h00","09h15 – 12h30 / 13h30 – 17h00","09h15 – 12h30 / 13h30 – 17h00","13h30 – 17h00","/","Oui","49.926208","1.62991","18 Rue du Brianchon 76340 Blangy-sur-Bresle","0.86","76340","Blangy-sur-Bresle","76101"
"76","Maison France Services d'Oissel sur Seine","rue de la Liberté",,,"76350","OISSEL SUR SEINE","Collectivité","Mairie de Oissel - CCAS","09h00 – 12h00 / 13h30 – 16h30","09h00 – 12h00","09h00 – 12h00 / 13h30 – 16h30","09h00 – 12h00 / 13h30 – 16h30","09h00 – 12h00","/",,"49.35997","1.097003","Rue de la Liberté 76350 Oissel","0.72","76350","Oissel","76484"
"76","Espace Public du Littoral","place de la gare",,,"76460","SAINT VALERY EN CAUX","Collectivité","Communauté de communes de la Côte d’Albâtre","08h30 – 12h30 / 13h30 – 17h30","08h30 – 12h30 / 13h30 – 17h30","08h30 – 12h30 / 13h30 – 17h30","08h30 – 12h30 / 13h30 – 17h30","08h30 – 12h30 / 13h30 – 16h30",,,"49.862342","0.712859","Place de la Gare 76460 Saint-Valery-en-Caux","0.95","76460","Saint-Valery-en-Caux","76655"
"76","Maison France Services Caux Seine agglo","5 avenue de la Sainte Gertrude",,,"76490","RIVES-EN-SEINE","Collectivité","Communauté d’Agglomération Caux Seine Agglo","13h30 – 18h30","09h – 12h30 / 13h30 – 17h30","09h – 12h30 / 13h30 – 17h30","09h – 12h30 / 13h30 – 17h30","09h – 12h30 / 13h30 – 17h30","/",,"49.528046","0.722813","5 Rue de la Sainte Gertrude 76490 Rives-en-Seine","0.82","76490","Rives-en-Seine","76164"
"76","Espace France Services Plateau de Caux de Doudeville","2 place du Général de Gaulle",,,"76560","DOUDEVILLE","Collectivité","Communauté de communes Plateau de Caux -
Doudeville – Yerville","09h00 – 12h00 / 14h00 – 17h00","09h00 – 12h00 / 14h00 – 17h00","09h00 – 12h00 / 14h00 – 17h00","09h00 – 12h00 / 14h00 – 17h00","09h00 – 12h00 / 14h00 – 17h00","/",,"49.721656","0.785037","2 Place du General de Gaulle 76560 Doudeville","0.94","76560","Doudeville","76219"
"76","Espaces numériques mobiles de Normandie - Le Havre","22, avenue du Général Archinar","Fodeno",,"76600","LE HAVRE","Association","Association FODENO","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","09h30 – 12h00 / 13h30 – 16h00","/","Oui","49.491704","0.116875","22 Avenue Général Archinard 76600 Le Havre","0.73","76600","Le Havre","76351"
"76","Espace France Services Falaises du Talou","46 rue du Général de Gaulle",,,"76630","ENVERMEU","Collectivité","Communauté de communes Falaises du Talou","09h00 – 12h00 / 13h30 – 17h30","09h00 – 12h00 / 13h30 – 17h30","09h00 – 12h00 / 13h30 – 17h30","09h00 – 12h00 / 13h30 – 17h30","09h00 – 12h00 / 13h30 – 17h30","/",,"49.8939","1.2682","46 Rue Général de Gaulle 76630 Envermeu","0.88","76630","Envermeu","76235"
"76","Espace France Services Centre social Caravelles","24 rue de l'audience",,,"76680","BELLENCOMBRE","Association","ASSOCIATION CARAVELLES","09h15 – 12h30 / 13h30 – 17h00","09h15 – 12h30 / 13h30 – 17h00","09h15 – 12h30 / 13h30 – 17h00","09h15 – 12h30 / 13h30 – 17h00","13h30 – 17h00","/","Oui","49.708359","1.224883","24 Rue de l'Audience 76680 Bellencombre","0.94","76680","Bellencombre","76070"
"76","Espace France Services centre social Agiès","1 bis avenue Jacques eberhard",,,"76700","GONFREVILLE L'ORCHER","Association","AGIES Centre Social","13h30 – 17h30","08h30 – 17h30","08h30 – 12H00","08h30 – 17H30","13H30 – 16H30","/",,"49.504313","0.233692","1 bis Avenue Jacques Eberhard 76700 Gonfreville-l'Orcher","0.95","76700","Gonfreville-l'Orcher","76305"
"76","Espace Delahaye","Route de Tôtes",,,"76760","YERVILLE","Collectivité","Mairie de Yerville","08h30 – 12h30 / 13h30 – 17h30","08h30 – 12h30 / 13h30 – 17h30","08h30 – 12h30 / 13h30 – 17h30","08h30 – 12h30 / 13h30 – 17h30","08h30 – 12h30 / 13h30 – 17h30","/",,"49.66936","0.900253","Route de Tôtes 76760 Yerville","0.94","76760","Yerville","76752"
"77","PIMMS de Melun ","16 Rue Saint Liesne",,,"77000","MELUN","PIMMS",,,,,,,,,"48.539751","2.665337","16 Rue Saint Liesne 77000 Melun","0.96","77000","Melun","77288"
"77","Dammartin-en-Goële","6 Rue du Général de Gaulle",,,"77230","DAMMARTIN-EN-GOËLE",,,,,,,,,"Oui","49.053094","2.674489","6 Rue du Général de Gaulle 77230 Dammartin-en-Goële","0.95","77230","Dammartin-en-Goële","77153"
"77","Nangis Lude","95 Rue Maurice Wanlin",,,"77370","FONTENAILLES",,,,,,,,,,"48.55527","2.953584","95 Rue Maurice Wanlin 77370 Fontenailles","0.94","77370","Fontenailles","77191"
"78","PIMMS Yvelines","11, rue Henri Dunant",,,"78130","LES MUREAUX","PIMMS",,"13H00 - 20H00 (Accueil libre)","9H - 14H00 (Accueil libre)
15H00 - 17H30 (Sur Rendez-vous)","9H - 14H00 (Accueil libre)","9H - 14H00 (Accueil libre)
15H00 - 17H30 (Sur Rendez-vous)","13H30 - 17H00 (Sur Rendez-vous)","9H30 - 12H30
(Ateliers libres et Rendez-vous)",,"48.993866","1.913007","11 Rue Henri Dunant 78130 Les Mureaux","0.95","78130","Les Mureaux","78440"
"78","Point Services aux Particuliers (PSP)","4, rue Koprivnice",,,"78190","TRAPPES","Association",,"9h-12h et 13h30-17h","9h-12h et 13h30-17h","9h-12h et 13h30-17h","9h-12h et 13h30-17h","9h-12h et 13h30-16h",,,"48.778884","1.988548","4 Rue de Koprivnice 78190 Trappes","0.87","78190","Trappes","78621"
"78","Mairie de Thoiry","3 place de la Fontaine",,,"78770","THOIRY","Collectivité",,"9h30-12h30 et 14h-18","10h-11h30 et 14h-18h",,"10h-11h30 et 14h-18h","10h-12h et 14h-19h","9h30-12h00",,"48.864932","1.795123","3 Place de la Fontaine 78770 Thoiry","0.94","78770","Thoiry","78616"
"79","Espace France Services de NIORT","10ter, rue Jules Siegfried",,,"79000","NIORT","Collectivité","Commune de NIORT","8 h 45 – 12 h 30 / 13 h 45  – 17 h 30","10 h – 12 h 30 / 13 h 45  – 17 h 30","8 h 45 – 12 h 30 / 13 h 45 – 17 h 30","8 h 45 – 12 h 30 / 13 h 45 – 17 h 30","8 h 45 – 12 h 30 / 13 h 45 – 17 h 30","fermé",,"46.315634","-0.481648","10 ter Rue Jules Siegfried 79000 Niort","0.89","79000","Niort","79191"
"79","Espace France Services d'ARGENTONNAY","4, ,place Léopold Bergeron",,,"79150","ARGENTONNAY","Collectivité","Commune d' ARGENTONNAY","9 h – 12 h 30 / 13 h 30  – 17 h ","9 h – 12 h 30 / 13 h 30  – 17 h ","9 h – 12 h 30 / 13 h 30  – 17 h ","9 h – 12 h 30 / 13 h 30   – 17 h ","9 h – 12 h 30 / 13 h 30 – 17 h ","fermé",,"46.984737","-0.444555","4 Place Leopold Bergeon 79150 Argentonnay","0.88","79150","Argentonnay","79013"
"79","Espace France Services de SAUZE-VAUSSAIS","40, grand’ rue",,,"79190","SAUZÉ-VAUSSAIS","Collectivité","CC Mellois en Poitou","fermé","9 h 30 – 12 h 30 / 14 h  – 16 h 30","14 h – 16 h 30","9 h 30 – 12 h 30 / 13 h 30 – 17 h","9 h 30 – 12 h 30 / 13 h 30 – 17 h","9 h 30 – 12 h 30",,"46.133713","0.107145","Place du Grand Puits 79190 Sauzé-Vaussais","0.58","79190","Sauzé-Vaussais","79307"
"79","Espace France Services de SAINT-MAIXENT- L'ECOLE","7, boulevard de la Trouillette",,,"79400","SAINT-MAIXENT-L’ECOLE","Collectivité","CC Haut Val de Sèvre","9 h – 12 h 30 / 13 h 30 – 17 h ","9 h – 12 h 30 / 13 h 30 – 17 h ","9 h – 12 h 30 ","9 h – 12 h 30 / 13 h 30 – 17 h ","9 h – 12 h 30 / 13 h 30 – 17 h ","fermé",,"46.410976","-0.209758","7 Boulevard de la Trouillette 79400 Saint-Maixent-l'École","0.95","79400","Saint-Maixent-l'École","79270"
"79","Espace France Services d'AIRVAULT","16ter, rue Emmanuel Bonnet",,,"79600","AIRVAULT","Collectivité","Commune d'AIRVAULT","8 h 30 – 1 2h 30 / 13 h 30 – 18 h 30","8 h 30 – 12 h 30 / 13 h 30 – 17 h 30","8 h 30 – 17 h 30","8 h 30 – 12 h 30 / 13 h 30 – 17 h 30","8 h 30 – 17 h 30","fermé",,"46.823802","-0.136877","16 ter Rue Emmanuel Bonnet 79600 Airvault","0.88","79600","Airvault","79005"
"79","Espace France Services de MAULEON","8, grand ‘rue",,,"79700","MAULEON","Collectivité","Commune de MAULEON","9 h 30 – 12 h 30 ","9 h 30 – 12 h 30 / 14 h – 17 h","9 h 30 – 12 h 30 / 14 h – 17 h","9 h 30 – 12 h 30 / 14 h – 17 h","9 h 30 – 12 h 30 / 14 h – 17 h",,,"46.923074","-0.74859","8 Grand Rue 79700 Mauléon","0.95","79700","Mauléon","79079"
"80","ESPACE FRANCE SERVICES AMIENS NORD","39, avenue de la Paix",,,"80000","AMIENS","Collectivité",,"13 h 30-17 h","9 h-12 h 30 / 13H 30-17 H ","9 h-12h30/ 13H30-17h","9 h-12h30/ 13H30-17h","9 h-12h30/ 13H30-17h",,,"49.913008","2.254741","Avenue du Pays d'Auge 80000 Amiens","0.55","80000","Amiens","80021"
"80","MAISON FRANCE SERVICES ETOUVIE","3, place du Pays d'Auge - Les Coursives ",,,"80000","AMIENS","Collectivité",,"13 h 30-17 h","9 h-12 h 30 / 13H 30-17 H ","9 h-12h30/ 13H30-17h","9 h-12h30/ 13H30-17h","9 h-12h30/ 13H30-17h",,,"49.913645","2.253536","3 Place du Pays d'Auge 80000 Amiens","0.7","80000","Amiens","80021"
"80","MAISON FRANCE SERVICES ABBEVILLE","1, rue des Aubépines",,,"80100","ABBEVILLE","Collectivité",,"9h-12h30 13h30-17h30 ","9h-12h30 13h30-17h30","9h-12h30 14h-17h ","9h-12h30 13h30-17h30 ","9h-12h30 13h30-17h30 ",,,"50.107961","1.855223","Rue des Aubépines 80100 Abbeville","0.9","80100","Abbeville","80001"
"80","MAISON FRANCE SERVICES HAM","12 rue Louis Braille",,,"80400","HAM","Collectivité","Centre social de l’Est de la Somme","08h30 - 12h15 /13h30 - 17h30 ","08h30 - 12h15 /13h30 - 17h30 ","08h30 - 12h15 /13h30 - 17h30 ","08h30 - 12h15 /13h30 - 17h30 ","08h30 - 12h15 /13h30 - 17h30 ","13h30 - 17h00 ",,"49.742688","3.076041","12 Rue Louis Braille 80400 Ham","0.95","80400","Ham","80410"
"81","MAISON FRANCE SERVICES ALBI RIVE DROITE","24 square Bonaparte",,,"81000","ALBI","Collectivité","MAIRIE d'ALBI","8H30 – 12H / 13H30 – 17H","8H30 – 12H / 13H30 – 17H","8H30 – 12H / 13H30 – 17H","8H30 – 12H / 13H30 – 17H","8H30 – 12H / 13H30 – 17H","Fermé",,"43.94291","2.155528","24 Square Bonaparte 81000 Albi","0.96","81000","Albi","81004"
"81","Maison France Services Centre Tarn","2 bis Boulevard Carnot",,,"81120","REALMONT","Collectivité","Communauté de Communes Centre Tarn","9h - 12h15 / 13h30 - 17h30","9h - 12h15 / 13h30 - 17h30","9h - 12h15 / 13h30 - 17h30","9h - 12h15 / 13h30 - 17h30","9h - 12h15 / 13h30 - 17h30",,,"43.776124","2.191271","2 b Boulevard Carnot 81120 Réalmont","0.85","81120","Réalmont","81222"
"81","Espace France Services du Lautrécois-Pays d'Agout","Le Moulin","Maison du Pays",,"81220","SERVIES","Collectivité","Communauté de Communes du Lautrécois-Pays d'Agout","09h00 - 12h30 / 13h30 - 17h00","09h00 - 12h30 / 13h30 - 17h00","09h00 - 12h30 / 13h30 - 17h00","09h00 - 12h30 / 13h30 - 17h00","09h00 - 12h30 / 13h30 - 17h00",,,"43.659371","2.025173","Chemin du Moulin 81220 Serviès","0.55","81220","Serviès","81286"
"81","Maison France Services Lacaune","8 rue Antoine Cambon",,,"81230","LACAUNE","Collectivité","ccmlhl","8h30-12h30/13h30-16h30","8h30-12h30/13h30-16h30","8h30-12h30/13h30-16h30","8h30-12h30/13h30-16h30","8h30-12h30",,,"43.706696","2.690667","8 Rue Antoine Cambon 81230 Lacaune","0.94","81230","Lacaune","81124"
"81","France Services Alban","1 rue du sénateur Boularan",,,"81250","ALBAN","Collectivité","CCMAV","8h30-12h30 / 14h-17h30","8h30-12h30 / 14h-17h30","8h30-12h30 / 14h-17h30","8h30-12h30 / 14h-17h30","8h30-12h30 / 14h-17h30",,,"43.888708","2.45633","1 Rue du Sénateur Boularan 81250 Alban","0.94","81250","Alban","81003"
"82","Espace France Services de Lauzerte","12 Rue du Millial 82110 Lauzerte",,,"82110","LAUZERTE","Association","Association Quercy Pays de Serre","8h30 - 12h30 / 13h30 - 17h30","8h30 - 12h30 / 13h30 - 17h30","8h30 – 12h30","8h30 - 12h30 / 13h30 - 17h30","8h30 - 12h30 / 13h30 - 17h30",,,"44.255068","1.13499","12 Rue du Millial 82110 Lauzerte","0.64","82110","Lauzerte","82094"
"82","Espace France Services de Lafrançaise","33 Rue Mary Lafon 82130 Lafrançaise",,,"82130","LAFRANÇAISE","Collectivité","Communauté de communes Coteaux et Plaines du Pays Lafrancaisain","8h30 - 12h30 / 13h30 - 17h","8h30 - 12h30 / 13h30 - 17h","8h30 – 12h30","8h30 - 12h30 / 13h30 - 17h","8h30 - 12h30 / 13h30 - 17h",,,"44.128379","1.241033","33 Rue Mary Lafon 82130 Lafrançaise","0.63","82130","Lafrançaise","82087"
"82","Espace France Services de Grisolles","9 rue François Faugères",,,"82170","GRISOLLES","Collectivité","Communauté de communes Grand Sud Tarn-et-Garonne","14h-18h","9h30 - 12h30 / 14h - 18h","9h30 - 12h30 / 14h - 17h","9h30 - 12h30 / 14h - 18h",,,,"43.826551","1.297306","9 Rue François Faugère 82170 Grisolles","0.88","82170","Grisolles","82075"
"82","Espace France Services de Saint-Nicolas-de-la-Garve","Place du Château",,,"82210","SAINT NICOLAS DE LA GRAVE","Collectivité","Commune de Saint-Nicolas-de-la-Grave","9h - 12h / 13h30 - 17h","9h - 12h / 13h30 - 17h","9h - 12h / 13h30 - 17h","9h - 12h / 13h30 - 17h","9h - 12h / 13h30 - 17h",,,"44.06426","1.023416","Place du Château 82210 Saint-Nicolas-de-la-Grave","0.94","82210","Saint-Nicolas-de-la-Grave","82169"
"82","Espace France Services de Grisolles LABASTIDE-SAINT-PIERRE","90 avenue Jean-Jaures",,,"82370","LABASTIDE-SAINT-PIERRE","Collectivité","Communauté de communes Grand Sud Tarn-et-Garonne",,"9h-12h30/14h-18h","9h30-12h30/14h-17h","9h-12h30/14h-18h","9h30-12h30",,,"43.916607","1.369102","90 Avenue Jean Jaurès 82370 Labastide-Saint-Pierre","0.94","82370","Labastide-Saint-Pierre","82079"
"82","Espace France Services de Négrepelisse","370 avenue du 8 mai 1945",,,"82800","NÉGREPELISSE","Collectivité","Communuaté de communes Quercy Vert Aveyron","8h30 - 12h / 13h30 – 17h","8h30 - 12h / 13h30 – 17h","8h30 - 12h / 13h30 – 17h","8h30 - 12h / 13h30 – 17h","8h30 - 12h / 13h30 – 17h",,,"44.074865","1.516101","370 Avenue du 8 Mai 1945 82800 Nègrepelisse","0.95","82800","Nègrepelisse","82134"
"83","Espace France Services de Méounes-lès-Montrieux","12 Route de Brignoles","La Poste",,"83136","MÉOUNES-LÈS-MONTRIEUX","La Poste","La Poste","9h - 12h / 14h – 17h","9h - 12h","9h - 12h","9h - 12h / 14h – 17h","9h - 12h","9h - 12h",,"43.281515","5.969501","Route de Brignoles 83136 Méounes-lès-Montrieux","0.75","83136","Méounes-lès-Montrieux","83077"
"83","Espace France Services du Pays de Fayence","159, Rue de la Comtesse de Villeneuve","Quartier la Ferrage",,"83440","FAYENCE","Collectivité","Communauté de Communes du Pays de Fayence","9h - 12h / 13h30 - 17h","9h - 12h / 13h30 - 17h","9h - 12h / 13h30 - 17h","9h - 12h / 13h30 - 17h","9h - 12h / 13h30 - 17h",,,"43.623963","6.692425","159 Rue Comtesse de Villeneuve 83440 Fayence","0.6","83440","Fayence","83055"
"83","Espace France Services du Muy","3 rue Joaquim Ollivier",,,"83490","LE MUY","Association","MODE 83","9h - 12h / 14h - 17h","9h - 12h","9h - 12h / 14h - 17h","9h - 12h","9h - 12h / 14h - 17h",,,"43.473754","6.566302","3 Rue Joachim Ollivier 83490 Le Muy","0.8","83490","Le Muy","83086"
"83","Espace France Services de la Seyne sur mer","99 avenue Louis Pergaud",,,"83500","LA SEYNE-SUR-MER","Collectivité","GIP MSP de la Seyne","8h30 - 12h / 13h15-17h","8h30 - 12h / 13h15-17h","8h30 - 12h / 13h15-17h","8h30 - 12h / 13h15-17h","8h30 - 12h / 13h15-17h",,,"43.111584","5.869744","Avenue Louis Pergaud 83500 La Seyne-sur-Mer","0.9","83500","La Seyne-sur-Mer","83126"
"83","Espace France Services de Collobrières","Place de la Libération","La Poste",,"83610","COLLOBRIÈRES","La Poste","La Poste","9h - 12h / 14h – 17h","9h - 12h / 14h – 16h","9h - 12h / 14h – 17h","9h - 12h / 14h – 17h","9h - 12h / 14h – 17h","9h - 12h",,"43.237586","6.308961","Place de la Liberation 83610 Collobrières","0.77","83610","Collobrières","83043"
"83","Espace France Services d’Aups","33 bis Avenue Georges Clémenceau","Centre des Ressources",,"83630","AUPS","Collectivité","Communauté des communes Lacs et Gorges du Verdon","9h - 12h / 13h30 - 16h30","9h - 12h / 13h30 - 16h30","9h - 12h / 13h30 - 16h30 (sous RDV)","9h - 12h / 13h30 - 16h30","9h - 12h / 13h30 - 16h30 (sous RDV)",,,"43.625059","6.22323","33 bis Avenue Clemenceau 83630 Aups","0.52","83630","Aups","83007"
"84","Espace France Services Villemarie Carpentras",,,,"84200","CARPENTRAS",,,,,,,,,,"44.063311","5.058272","Carpentras","0.95","84200","Carpentras","84031"
"85","Espace France Services de Sud Vendée Littoral","43 bis rue du 11 novembre",,,"84540","CHAILLE LES MARAIS","collectivité","Communauté de Communes Sud Vendée Littoral","8h45-12h15 13h00-16h30 ","8h45-12h15 13h00-16h30 ","8h45-12h15 13h00-16h30 ","8h45-12h15 13h00-16h30 ","8h45-12h15 13h00-16h30 ",,,"46.396926","-1.022538","43 bis Rue du 11 Novembre 85450 Chaillé-les-Marais","0.87","85450","Chaillé-les-Marais","85042"
"84","Espace France Services Valréas",,,,"84600","VALRÉAS",,,,,,,,,,"44.375644","4.987455","Valréas","0.95","84600","Valréas","84138"
"84","Espace France Services Sorgues",,,,"84700","SORGUES",,,,,,,,,,"44.009992","4.86906","Sorgues","0.95","84700","Sorgues","84129"
"85","Espace France Services de Chantonnay","Mairie de Chantonnay",,,"85110","CHANTONNAY","Opérateur","MSA 44-85"," 9 h à 12 h 30 et de 13 h 30 à 17 h","9 h à 12 h 30","9 h à 12 h 30 et de 13 h 30 à 17 h"," 9 h à 12 h 30","9 h à 12 h 30 et de 13 h 30 à 17 h",,,"46.706414","-1.030687","Place de la Mairie de Puybelliard 85110 Chantonnay","0.42","85110","Chantonnay","85051"
"85","Espace France Services de La Châtaigneraie","7 place de la république",,,"85120","LA CHÂTAIGNERAIE","collectivité","Communauté de communes du Pays de La Châtaigneraie","9h00 à 13h00 et de 14h00 à 17h30","9h00 à 13h00 et de 14h00 à 17h30","9h00 à 13h00 et de 14h00 à 18h00","9h00 à 13h00 et de 14h00 à 17h30","9h00 à 13h00",,,"46.647055","-0.742213","7 Place de la République 85120 La Châtaigneraie","0.94","85120","La Châtaigneraie","85059"
"85","Espace France Services de Moutiers les Mauxfaits","2 rue du chemin de fer",,,"85540","MOUTIERS LES MAUXFAITS","collectivité","Communauté de communes Vendée Grand Littoral","8h30 à 12h30 ","8h30 à 12h30  et de 13h30 à 17h30","8h30 à 12h30 ","8h30 à 12h30  et de 13h30 à 17h30","8h30 à 12h30 ",,,"46.49346","-1.425394","2 Rue du Chemin de Fer 85540 Moutiers-les-Mauxfaits","0.94","85540","Moutiers-les-Mauxfaits","85156"
"85","Espace France Services de Palluau","26 rue Georges Clemenceau",,,"85670","PALLUAU","collectivité","Communauté de Communes Vie et Boulogne",,"9h00 à 12h30 et de 14h00 à 17h30 ","9h00 à 12h30 et de 14h00 à 17h30 ","9h00 à 12h30 et de 14h00 à 17h30 ","9h00 à 12h30 et de 14h00 à 17h30 ","9h00 à 12h30",,"46.804652","-1.620794","Rue Georges Clemenceau 85670 Palluau","0.87","85670","Palluau","85169"
"85","Espace France Services de Pouzauges","Communauté de communes du pays de Pouzauges la Fournière",,,"85700","POUZAUGES","collectivité","Communauté de communes du Pays de Pouzauges"," 8h30 à 12h30 et de 13h30 à 17h30"," 8h30 à 12h30 et de 13h30 à 17h30"," 8h30 à 12h30 et de 13h30 à 17h30"," 8h30 à 12h30 et de 13h30 à 17h30","8h30 à 12h30 et de 14h à 17h",,,"46.77419","-0.847569","Rue de la Fournière 85700 Pouzauges","0.44","85700","Pouzauges","85182"
"86","PIMMS Saint-Eloi","15 avenue de la fraternité",,,"86000","POITIERS","PIMMS","Association","9h30– 12h30","9h30 – 12h30 / 14h - 18h","9h30 - 12h30 / 14h - 17h","9h30 - 12h30 / 14h - 17h","9h30– 12h30","Fermé",,"46.589976","0.38297","15 Avenue de la Fraternite 86000 Poitiers","0.96","86000","Poitiers","86194"
"87","Châlus","28 Avenue François Mittérrand",,,"87230","CHÂLUS",,,,,,,,,,"45.654527","0.981322","28 Avenue François Mittérrand 87230 Châlus","0.94","87230","Châlus","87032"
"87","Châteauponsac","Place Ducoux",,,"87290","CHÂTEAUPONSAC",,,,,,,,,,"46.132678","1.277431","Place Ducoux 87290 Châteauponsac","0.94","87290","Châteauponsac","87041"
"87","Nexon","5 Rue Jean - Jacques Rousseau",,,"87800","NEXON",,,,,,,,,,"45.681147","1.183637","5 Rue Jean - Jacques Rousseau 87800 Nexon","0.94","87800","Nexon","87106"
"88","Espace France Services de Neufchâteau","5, Square d'Indochine",,,"88300","NEUFCHATEAU","Collectivité","Communauté de Communes de l'Ouest Vosgien","8H30 - 12H00 / 13H30 - 17H00","8H30 - 12H00 / 13H30 - 17H00","8H30 - 12H00 / 13H30 - 17H00","8H30 - 12H00 / 13H30 - 17H00","8H30 - 12H00 / 13H30 - 17H00",,,"48.355249","5.681388","5 Sq Anciens Combattants Indochine 88300 Neufchâteau","0.51","88300","Neufchâteau","88321"
"88","Espace France Services de Bruyères - Antenne de Docelles","9 rue de la Libération",,,"88460","DOCELLES","Collectivité","Communauté de Communes de Bruyères – Vallons des Vosges","09h00 -11h20","09h00 -11h20",,"09h00 -11h20",,,,"48.144709","6.617595","9 Rue de la Libération 88460 Docelles","0.94","88460","Docelles","88135"
"88","Espace France Services de Bruyères","4 rue de la 36ème Division US",,,"88600","BRUYERES","Collectivité","Communauté de Communes de Bruyères – Vallons des Vosges","08h30-12h00 / 13h00-17h00","08h30-12h00 / 13h00-19h00","08h30-12h00 / 13h00-17h00","08h30-12h00 / 13h00-17h00","13h00 -17h00",,,"48.210259","6.716263","4 Avenue 36e Division Us 88600 Bruyères","0.66","88600","Bruyères","88078"
"88","Espace France Services de Bruyères - Antenne de Brouvelieures","7 rue de l'ancienne école",,,"88600","BROUVELIEURES",,,,,,,,,,"48.235579","6.730979","7 Rue de l'Ancienne Ecole 88600 Brouvelieures","0.93","88600","Brouvelieures","88076"
"88","Espace France Services de Rambervillers","1 place de la Gare",,,"88700","RAMBERVILLERS","Collectivité","PETR du Pays d'Epinal Coeur des Vosges","8h30 - 12h00 / 13h30 – 17h00","8h30 - 12h / 13h30 – 17h","8h30 - 12h00 / 13h30 – 17h00","8h30 - 12h00 / 13h30 – 17h00","8h30 - 12h00 / 13h30 – 17h00",,,"48.340184","6.634408","1 Place de la Gare 88700 Rambervillers","0.95","88700","Rambervillers","88367"
"89","Charny Orée de Puisaye","3 Route de Prunoy",,,"89120","CHARNY ORÉE DE PUISAYE","Collectivité","mairie","8h -12h / 13h30 – 17h30","8h -12h / 13h30 – 17h30","8h -12h / 13h30 – 17h30","8h -12h / 13h30 – 17h30","8h -12h / 13h30 – 17h30","Fermé",,"47.887432","3.09557","3 Route de Prunoy 89120 Charny Orée de Puisaye","0.95","89120","Charny Orée de Puisaye","89086"
"89","Les Vallées de la Vanne","5 Route du Miroir",,,"89320","LES VALLÉES DE LA VANNE","Collectivité","mairie","9h - 12h / 13h – 16h","9h - 12h / 13h – 16h","9h – 12h","9h - 12h / 13h – 16h","9h – 12h","Fermé",,"48.167365","3.426606","5 Route du Miroir 89320 Les Vallées de la Vanne","0.94","89320","Les Vallées de la Vanne","89411"
"89","Chéroy","13 Rue de Paris",,,"89690","CHÉROY","La Poste","La Poste","Fermé","10h - 12h15 / 13h30 – 16h30","9h - 12h15 / 13h30 – 16h30","9h - 12h15 / 13h30 – 17h00","9h - 12h15 / 13h30 – 17h00","9h – 12h",,"48.202902","2.998647","13 Rue de Paris 89690 Chéroy","0.94","89690","Chéroy","89100"
"91","PIMMS Evry Cœur D'Essonne","407 Square Jacques Prévert",,,"91000","ÉVRY-COURCOURONNES","PIMMS","association","9h 30- 12h30 / 13h30 – 18h00","9h 30- 12h30 / 13h30 – 18h00","FERME / 13h30 – 18h00","9h 30- 12h30 / 13h30 – 18h00","9h 30- 12h30 / 13h30 – 18h00","9h 30- 12h30 /FERME",,"48.633152","2.430027","407 Square Jacques Prévert 91000 Évry-Courcouronnes","0.96","91000","Évry-Courcouronnes","91228"
"91","Espace France Services d’Athis Mons","3 Rue Pierre Bérégovoy",,,"91200","ATHIS MONS","Collectivité","commune","8h30 - 12h30 / 13h30 – 18h","8h30 - 12h30 / 13h30 – 18h","8h30 - 12h30 / 13h30 – 18h","10h – 12h30 / 13h30 - 18h","8h30 - 12h30 / 13h30 - 18h","8h30 - 12h ",,"48.704077","2.363389","3 Rue Pierre Beregovoy 91200 Athis-Mons","0.95","91200","Athis-Mons","91027"
"91","Espace France Services de la Communauté d’agglomération
Coeur Essonne Agglomération","4 rue du Docteur Verdié ",,,"91290","ARPAJON","Collectivité","EPCI","13h30 - 18h","9h - 12h / 13h30 - 18h","9h – 12h","9h - 12h / 13h30 - 18h","9h - 13h / 14h – 16h","FERME",,"48.586202","2.24873","4 Rue du Docteur Verdie 91290 Arpajon","0.95","91290","Arpajon","91021"
"91","Espace France Services d’Igny","1 rue Jules Ferry ",,,"91430","IGNY","Collectivité","commune","9h - 12h / 14h – 17h30","9h - 12h / 14h – 17h30","9h - 12h / 14h – 17h30","9h – 12h","9h - 12h / 14h – 17h30",,,"48.732239","2.226456","1 Rue Jules Ferry 91430 Igny","0.95","91430","Igny","91312"
"91","Espace France Services de la communauté de communes 
Du Val d’Essonne","Parvis des communautés",,,"91610","BALLANCOURT
 S/ESS.","Collectivité","EPCI","9h - 12h / 14h - 18h","9h - 12h / 14h - 18h","9h - 12h / 14h - 18h","9h - 12h / 14h - 18h","9h - 12h / 14h – 17h30","FERME",,"48.530549","2.369958","Gare S N C F 91610 Ballancourt-sur-Essonne","0.41","91610","Ballancourt-sur-Essonne","91045"
